Date,Federal_Debt,Debt_GDP,Household_Debt,Debt_Income
1/1/17,22.58328767,103.0,1.212155282,103.6
1/1/18,24.71252374,104.2,1.23022593,101.8
1/1/19,27.04251208,105.4,1.248571378,99.4
1/1/20,29.59218035,106.7,1.267187655,96.6
1/1/21,32.3822408,107.9,1.286081502,93.8
1/1/22,35.43535849,109.3,1.305257057,91.2
1/1/23,38.77633543,110.7,1.324718521,88.9
1/1/24,42.43231207,112.1,1.344470157,87.2
