DATE,Federal Debt ($M),Interest Payment ($M),Interest Rate (%),Inflation (%),Effective Interest Rate (%),GDP ($B),GDP ($M),Debt/GDP (%),Interest/GDP (%)
1966-01-01,320999,9386,2.92399664796464,3.01507537688439,-0.09107872891975,780.5,780500.0,41.1273542600897,1.20256245996156
1967-01-01,330947,10268,3.10261159641876,2.77278562259307,0.32982597382569,836.5,836500.0,39.5632994620442,1.22749551703527
1968-01-01,349473,11090,3.1733495863772,4.27179615288534,-1.09844656650814,897.6,897600.0,38.9341577540107,1.23551693404635
1969-01-01,359546,12699,3.53195418666874,5.4623862002875,-1.93043201361876,980.3,980300.0,36.6771396511272,1.29541976945833
1970-01-01,372007,14380,3.86551865959512,5.83825533848253,-1.97273667888741,1046.7,1046700.0,35.540938186682,1.37384159740136
1971-01-01,391668,14841,3.78917859003033,4.29276668813045,-0.50358809810012,1116.6,1116600.0,35.0768404083826,1.32912412681354
1972-01-01,427344,15478,3.62190647347336,3.27227824655283,0.34962822692053,1216.2,1216200.0,35.1376418352245,1.27265252425588
1973-01-01,458606,17349,3.78298583097474,6.17776006377041,-2.39477423279567,1352.7,1352700.0,33.9030087972204,1.28254601907297
1974-01-01,473675,21449,4.52821027075526,11.0548048048048,-6.52659453404954,1482.8,1482800.0,31.9446317777178,1.44652009711357
1975-01-01,509659,23244,4.56069646567607,9.14314686496534,-4.58245039928927,1606.9,1606900.0,31.7169083328147,1.4465119173564
1976-01-01,600490,26727,4.4508651268131,5.74481263549085,-1.29394750867775,1786.1,1786100.0,33.620178041543,1.49638878002351
1977-01-01,669207,29901,4.46812421268755,6.50168399472839,-2.03355978204084,2024.3,2024300.0,33.0586869535148,1.47710319616658
1978-01-01,737951,35458,4.8049260723273,7.63096383885602,-2.82603776652872,2273.4,2273400.0,32.460235770212,1.55969033166183
1979-01-01,796792,42633,5.35058082912479,11.2544711292795,-5.90389030015471,2565.6,2565600.0,31.0567508574992,1.6617165575304
1980-01-01,863451,52533,6.08407425551653,13.5492019749684,-7.46512771945187,2791.9,2791900.0,30.9270031161575,1.88162183459293
1981-01-01,964531,68766,7.12947536160061,10.3347153402771,-3.20523997867649,3133.2,3133200.0,30.7842142218818,2.19475296821141
1982-01-01,1061299,85032,8.01206822959411,6.13142700027494,1.88064122931917,3313.4,3313400.0,32.0305124645379,2.56630651294743
1983-01-01,1244493,89808,7.21643271597349,3.21243523316063,4.00399748281286,3536.0,3536000.0,35.1949377828054,2.53981900452489
1984-01-01,1463741,111102,7.59027724167049,4.30053547523427,3.28974176643622,3949.2,3949200.0,37.0642408589081,2.81327863871164
1985-01-01,1710731,129478,7.56857740930631,3.54564415209369,4.02293325721262,4265.1,4265100.0,40.1099856978734,3.03575531640524
1986-01-01,1986816,136017,6.8459786915346,1.89804772234275,4.94793096919185,4526.2,4526200.0,43.8958950112677,3.00510361892979
